㓥,tong1
做生意,zou6 saang1 ji3
做落,zou6 lok6
停,ting4
停步,ting4 bou6
停留,ting4 lau4
停笔,ting4 bat1
停筆,ting4 bat1
停車場,ting4 ce1 coeng4
停车场,ting4 ce1 coeng4
健康,gin6 hong1
健教,gin6 gaau3
健身,gin6 san1
側邊,zak1 bin1
側面,zak1 min6
偵緝,zing1 cap1
偵輯,zing1 cap1
偶像,ngau5 zoeng6
偷,tau1
偷录,tau1 luk6
偷情,tau1 cing4
偷笑,tau1 siu3
偷錄,tau1 luk6
偷雞,tau1 gai1
偷鸡,tau1 gai1
偿,soeng4
傍,bong6
傑,git6
傑出,git6 ceot1
傘,saan3
傥,tong2
储,cou5
储钱,cou5 cin2
催,ceoi1
傳,cyun4
傳媒,cyun4 mui4
傳播,cyun4 bo3
傳教士,cyun4 gaau3 si6
傳染,cyun4 jim5
傳真,cyun4 zan1
傳統,cyun4 tung2
傳統上,cyun4 tung2 soeng6
傳說,cyun4 syut3
傳譯員,cyun4 jik6 jyun4
傳送,cyun4 sung3
傷,soeng1
傷害,soeng1 hoi6
傷心,soeng1 sam1
傷殘,soeng1 caan4
傻,so4
傻佬,so4 lou2
傻瓜,so4 gwaa1
傻瓜机,so4 gwaa1 gei1
傻瓜機,so4 gwaa1 gei1
傾,king1
傾偈,king1 gai2
傾掂,king1 dim6
傾生意,king1 saang1 ji3
傾計,king1 gai2
傾電話,king1 din6 waa2
僕,puk1
僕去,puk1 heoi3
僕直,puk1 zik6
僚,liu4
僧,zang1
僱主,gu3 zyu2
價,gaa3
價位,gaa3 wai2
價值,gaa3 zik6
價錢,gaa3 cin4
儀器,ji4 hei3
儘管,zeon6 gun2
償,soeng4
優點,jau1 dim2
儲,cou5
儲錢,cou5 cin2
儻,tong2
儿戏,ji4 hei1
元朗,jyun4 long5
元气,jyun4 hei3
元氣,jyun4 hei3
兄弟,hing1 dai6
充,cung1
充分,cung1 fan6
充实,cung1 sat6
充實,cung1 sat6
充满,cung1 mun5
充滿,cung1 mun5
充电,cung1 din6
充電,cung1 din6
兆基,siu6 gei1
兆尊,siu6 zyun1
兇徒,hung1 tou4
兇手,hung1 sau2
先,sin1
先前,sin1 cin4
先排,sin1 paai4
先生,sin1 saang1
先至,sin1 zi3
先輪,sin1 leon4
先轮,sin1 leon4
先进,sin1 zeon3
先進,sin1 zeon3
光,gwong1
光大,gwong1 daai6
光大实业,gwong1 daai6 sat6 jip6
光大實業,gwong1 daai6 sat6 jip6
光大明輝,gwong1 daai6 ming4 fai1
光大明辉,gwong1 daai6 ming4 fai1
光猪,gwong1 zyu1
光碟,gwong1 dip2
光豬,gwong1 zyu1
光鮮,gwong1 sin1
光鲜,gwong1 sin1
克,haak1
克服,haak1 fuk6
免費,min5 fai3
免费,min5 fai3
兒戲,ji4 hei1
兔,tou3
兔仔,tou3 zai2
兜,dau1
入,jap6
入Q,jap6 kiu1
入來,jap6 lai4
入侵,jap6 cam1
入去,jap6 heoi3
入口,jap6 hau2
入场,jap6 coeng4
入場,jap6 coeng4
入屋,jap6 uk1
入来,jap6 lai4
入波,jap6 bo1
入行,jap6 hong4
入边,jap6 bin6
入邊,jap6 bin6
入門,jap6 mun4
入门,jap6 mun4
入面,jap6 min6
內,noi6
內向,noi6 hoeng3
內地,noi6 dei6
內容,noi6 jung4
內裏,noi6 leoi5
內部,noi6 bou6
全,cyun4
全世界,cyun4 sai3 gaai3
全人,cyun4 jan4
全保,cyun4 bou2
全场,cyun4 coeng4
全場,cyun4 coeng4
全套,cyun4 tou3
全年,cyun4 nin4
全日,cyun4 jat6
全班,cyun4 baan1
全球,cyun4 kau4
全球性,cyun4 kau4 sing3
全科,cyun4 fo1
全裸,cyun4 lo2
全部,cyun4 bou6
兩,loeng5
兩三,loeng5 saam1
兩個半,loeng5 go3 bun3
兩性,loeng5 sing3
兩成,loeng5 sing4
兩萬,loeng5 maan6
兩點,loeng5 dim2
兩點半,loeng5 dim2 bun3
八,baat3
八万,baat3 maan6
八三,baat3 saam1
八三年,baat3 saam1 nin4
八两金,baat3 loeng2 gam1
八九,baat3 gau2
八九十,baat3 gau2 sap6
八二,baat3 ji6
八二年,baat3 ji6 nin4
八兩金,baat3 loeng2 gam1
八六,baat3 luk6
八六年,baat3 luk6 nin4
八几年,baat3 gei2 nin4
八十,baat3 sap6
八千,baat3 cin1
八千六百五,baat3 cin1 luk6 baak3 ng5
八号,baat3 hou6
八四,baat3 sei3
八四年,baat3 sei3 nin4
八幾年,baat3 gei2 nin4
八成,baat3 sing4
八月,baat3 jyut6
八点,baat3 dim2
八点半钟,baat3 dim2 bun3 zung1
八点钟,baat3 dim2 zung1
八萬,baat3 maan6
八號,baat3 hou6
八零一,baat3 ling4 jat1
八點,baat3 dim2
八點半鐘,baat3 dim2 bun3 zung1
八點鐘,baat3 dim2 zung1
公,gung1
公专,gung1 zyun1
公事,gung1 si6
公仔,gung1 zai2
公仔面,gung1 zai2 min6
公仔麵,gung1 zai2 min6
公共,gung1 gung6
公关,gung1 gwaan1
公函,gung1 haam4
公务员,gung1 mou6 jyun4
公務員,gung1 mou6 jyun4
公司,gung1 si1
公园,gung1 jyun2
公園,gung1 jyun2
公專,gung1 zyun1
公平,gung1 ping4
公开,gung1 hoi1
公民教育,gung1 man4 gaau3 juk6
公积金,gung1 zik1 gam1
公積金,gung1 zik1 gam1
公認,gung1 jing6
公认,gung1 jing6
公路,gung1 lou6
公開,gung1 hoi1
公關,gung1 gwaan1
六,luk6
六几,luk6 gei2
六几年,luk6 gei2 nin4
六分一,luk6 fan6 jat1
六十,luk6 sap6
六十万,luk6 sap6 maan6
六十八,luk6 sap6 baat3
六十几,luk6 sap6 gei2
六十年代,luk6 sap6 nin4 doi6
六十幾,luk6 sap6 gei2
六十萬,luk6 sap6 maan6
六千,luk6 cin1
六号,luk6 hou6
六合彩,luk6 hap6 coi2
六幾,luk6 gei2
六幾年,luk6 gei2 nin4
六成,luk6 sing4
六月,luk6 jyut6
六点,luk6 dim2
六点九,luk6 dim2 gau2
六点半,luk6 dim2 bun3
六点钟,luk6 dim2 zung1
六点零,luk6 dim2 leng4
六百,luk6 baak3
六百五十,luk6 baak3 ng5 sap6
六號,luk6 hou6
六點,luk6 dim2
六點九,luk6 dim2 gau2
六點半,luk6 dim2 bun3
六點鐘,luk6 dim2 zung1
六點零,luk6 dim2 leng4
共勉之,gung6 min5 zi1
共存,gung6 cyun4
共渡,gung6 dou6
共鳴,gung6 ming4
共鸣,gung6 ming4
关,gwaan1
关事,gwaan1 si6
关于,gwaan1 jyu1
关口,gwaan1 hau2
关注,gwaan1 zyu3
关照,gwaan1 ziu3
关系,gwaan1 hai6
兴,hing1
兴奋,hing1 fan5
兴趣,hing3 ceoi3
兵,bing1
其,kei4
其中,kei4 zung1
其他,kei4 taa1
其实,kei4 sat6
其實,kei4 sat6
典型,din2 jing4
典故,din2 gu3
典礼,din2 lai5
典禮,din2 lai5
养,joeng5
养大,joeng5 daai6
养老,joeng5 lou5
养鱼,joeng5 yu2
兼夹,gim1 gap3
兼夾,gim1 gap3
兽医,sau3 ji1
内,noi6
内向,noi6 hoeng3
内地,noi6 dei6
内容,noi6 jung4
内部,noi6 bou6
内里,noi6 leoi5
冇,mou5
冇乜,mou5 mat1
冇事,mou5 si6
冇份,mou5 fan2
冇功都有劳,mou5 gung1 dou1 jau5 lou4
冇功都有勞,mou5 gung1 dou1 jau5 lou4
冇嘢,mou5 je5
冇得,mou5 dak1
冇得頂,mou5 dak1 ding2
冇得顶,mou5 dak1 ding2
冇心机,mou5 sam1 gei3
冇心機,mou5 sam1 gei3
冇所謂,mou5 so2 wai6
冇所谓,mou5 so2 wai6
冇用,mou5 jung6
冇瘾,mou5 jan5
冇癮,mou5 jan5
冇行,mou5 hong4
冇計,mou5 gai2
冇计,mou5 gai2
冇錢,mou5 cin2
冇錯,mou5 co3
冇钱,mou5 cin2
冇错,mou5 co3
冊,caak3
册,caak3
再,zoi3
再見,zoi3 gin3
再见,zoi3 gin3
冒牌,mou6 paai4
写,se2
写低,se2 dai1
写信,se2 seon3
写字,se2 zi6
写字楼,se2 zi6 lau4
冚,kam2
冚唪唥,ham6 baang6 laang6
冚落,kam2 lok6
军火,gwan1 fo2
农场,nung4 coeng4
冠军,gun3 gwan1
冠軍,gun3 gwan1
冧巴,lam1 baa2
冬天,dung1 tin1
冰冰,bing1 bing1
冲,cung1
冲凉,cung1 loeng4
冲击,cung1 gik1
冲动,cung1 dung6
冲破,cung1 po3
决定,kyut3 ding6
决心,kyut3 sam1
决策人,kyut3 caak3 jan4
决裂,kyut3 lit6
决赛,kyut3 coi3
决赛周,kyut3 coi3 zau1
冷,laang5
冷气,laang5 hei3
冷气机,laang5 hei3 gei1
冷气被,laang5 hei3 pei5
冷氣,laang5 hei3
冷氣機,laang5 hei3 gei1
冷氣被,laang5 hei3 pei5
冷落,laang5 lok6
冷衫,laang1 saam1
冷震,laang5 zan3
冻,dung3
冻结,dung3 git3
净,zing6
净得,zing6 dak1
净系,zing6 hai6
凄凉,cai1 loeng4
凄清,cai1 cing1
准,zeon2
准备,zeon2 bei6
准时,zeon2 si4
准绳度,zeon2 sing4 dou6
凉,loeng4
凍,dung3
凍結,dung3 git3
减,gaam2
减价,gaam2 gaa3
减少,gaam2 siu2
减税,gaam2 seoi3
凑,cau3
几,gei2
几万,gei2 maan6
几乎,gei1 fu4
几十,gei2 sap6
几千,gei2 cin1
几可,gei2 ho2
几咁,gei2 gam3
几多,gei2 do1
几大,gei2 daai6
几年前,gei2 nin4 cin4
几廿,gei2 jaa6
几时,gei2 si4
几点,gei2 dim2
几点钟,gei2 dim2 zung1
几百,gei2 baak3
几百万,gei2 baak3 maan6
几耐,gei2 noi6
凡,faan4
凡係,faan4 hai6
凡系,faan4 hai6
凤爪,fung6 zaau2
凭,pang4
凭住,pang4 zyu6
凯凯,hoi2 hoi2
凯婷,hoi2 ting4
凯悦,hoi2 jyut6
凯旋门,hoi2 syun4 mun4
凱凱,hoi2 hoi2
凱婷,hoi2 ting4
凱悅,hoi2 jyut6
凱旋門,hoi2 syun4 mun4
凶徒,hung1 tou4
凶手,hung1 sau2
凹,lap1
出,ceot1
出产,ceot1 caan2
出位,ceot1 wai2
出來,ceot1 lai4
出入,ceot1 jap6
出去,ceot1 heoi3
出发,ceot1 faat3
出发点,ceot1 faat3 dim2
出名,ceot1 meng2
出品,ceot1 ban2
出声,ceot1 seng1
出头天,ceot1 tau4 tin1
出奇,ceot1 kei4
出年,ceot1 nin2
出来,ceot1 lai4
出汗,ceot1 hon6
出海,ceot1 hoi2
出版,ceot1 baan2
出版商,ceot1 baan2 soeng1
出版社,ceot1 baan2 se3
出现,ceot1 jin6
出現,ceot1 jin6
出產,ceot1 caan2
出發,ceot1 faat3
出發點,ceot1 faat3 dim2
出碟,ceot1 dip2
出粮,ceot1 loeng4
出糧,ceot1 loeng4
出聲,ceot1 seng1
出街,ceot1 gaai1
出賽,ceot1 coi3
出赛,ceot1 coi3
出路,ceot1 lou6
出边,ceot1 bin6
出邊,ceot1 bin6
出面,ceot1 min2
出頭天,ceot1 tau4 tin1
刀,dou1
分,fan1
分享,fan1 hoeng2
分公司,fan1 gung1 si1
分分鐘,fan1 fan1 zung1
分分钟,fan1 fan1 zung1
分別,fan1 bit6
分别,fan1 bit6
分割,fan1 got3
分开,fan1 hoi1
分担,fan1 daam1
分擔,fan1 daam1
分析力,fan1 sik1 lik6
分歧,fan1 kei4
分行,fan1 hong2
分鐘,fan1 zung1
分钟,fan1 zung1
分開,fan1 hoi1
切,cit3
切合,cit3 hap6
刑事,jing4 si6
划,waak6
列入,lit6 jap6
列車,lit6 ce1
列车,lit6 ce1
刘,lau4
刘海,lau4 hoi2
刚,gong1
创伤,cong3 soeng1
创作,cong3 zok3
创作人,cong3 zok3 jan4
创出,cong3 ceot1
创意,cong3 ji3
创造,cong3 zou6
初,co1
初信,co1 seon3
初初,co1 co1
初头,co1 tau4
初时,co1 si4
初時,co1 si4
初賽,co1 coi3
初赛,co1 coi3
初頭,co1 tau4
判,pun3
別,bit6
別墅,bit6 seoi6
刨,paau4
利害,lei6 hoi6
利得稅,lei6 dak1 seoi3
利得税,lei6 dak1 seoi3
利是,lei6 si6
利物浦,lei6 mat6 pou2
利用,lei6 jung6
利益,lei6 jik1
别,bit6
别墅,bit6 seoi6
刬,laa2
刮损,gwaat3 syun2
刮損,gwaat3 syun2
到,dou2
到底,dou3 dai2
到时,dou3 si4
到時,dou3 si4
到达,dou3 daat6
到達,dou3 daat6
制,zai3
制作,zai3 zok3
制作人,zai3 zok3 jan4
制度,zai3 dou6
制式,zai3 sik1
制成,zai3 sing4
制造,zai3 zou6
制造业,zai3 zou6 jip6
刺激,ci3 gik1
刻,haak1
刻意,haak1 ji3
剁,do2
剂,zai1
剃,tai3
削,soek3
削减,soek3 gaam2
削減,soek3 gaam2
削胃,soek3 wai6
剋,haak1
前,cin4
前两年,cin4 loeng5 nin4
前兩年,cin4 loeng5 nin4
前嗰排,cin4 go2 paai4
前地,cin4 dei6
前境,cin4 ging2
前头,cin4 tau4
前妻,cin4 cai1
前排,cin4 paai2
前日,cin4 jat6
前晚,cin4 maan5
前程,cin4 cing4
前边,cin4 bin6
前途,cin4 tou4
前邊,cin4 bin6
前面,cin4 min6
前頭,cin4 tau4
前𠮶排,cin4 go2 paai4
剒,cok3
剗,laa2
剛,gong1
剝,mok1
剝光豬,mok1 gwong1 zyu1
剝奪,mok1 dyut6
剥,mok1
剥光猪,mok1 gwong1 zyu1
剥夺,mok1 dyut6
剧情,kek6 cing4
剧本,kek6 bun2
剧烈,kek6 lit6
剧集,kek6 zaap6
剩,zing6
剩低,zing1 dai1
剩係,zing6 hai6
剩系,zing6 hai6
剪,zin2
副,fu3
割,got3
割禾青,got3 wo4 ceng1
創作,cong3 zok3
創作人,cong3 zok3 jan4
創傷,cong3 soeng1
創出,cong3 ceot1
創意,cong3 ji3
創造,cong3 zou6
剷,caan2
剿,ziu2
劃,waak6
劇情,kek6 cing4
劇本,kek6 bun2
劇烈,kek6 lit6
劇集,kek6 zaap6
劈,pek3
劈友,pek3 jau2
劉,lau4
劉海,lau4 hoi2
劏,tong1
劑,zai1
力,lik6
力恃,lik6 ci4
力有不逮,lik6 jau5 bat1 dai6
办,baan6
办工室,baan6 gung1 sat1
办法,baan6 faat3
功劳,gung1 lou4
功勞,gung1 lou4
功能,gung1 nang4
功課,gung1 fo3
功课,gung1 fo3
加,gaa1
加上,gaa1 soeng5
加入,gaa1 jap6
加币,gaa1 bai6
加幣,gaa1 bai6
加拿大,gaa1 naa4 daai6
加插,gaa1 caap3
加数,gaa1 sou3
加數,gaa1 sou3
加油,gaa1 jau2
加薪,gaa1 san1
动物,dung6 mat6
助理,zo6 lei5
努力,nou5 lik6
劫,gip3
劫案,gip3 on3
劲,ging6
劲歌金曲,ging6 go1 gam1 kuk1
劳工,lou4 gung1
劳工处,lou4 gung1 cyu3
劳气,lou4 hei3
势,sai3
勁,ging6
勁歌金曲,ging6 go1 gam1 kuk1
勒,lak6
動物,dung6 mat6
勝任,sing1 jam6
勞工,lou4 gung1
勞工處,lou4 gung1 cyu3
勞氣,lou4 hei3
勢,sai3
勤力,kan4 lik6
勿,mat6
勿施于人,mat6 si1 jyu1 jan4
勿施於人,mat6 si1 jyu1 jan4
包,baau1
包扎,baau1 zaat3
包括,baau1 kut3
包租婆,baau1 zou1 po4
包紮,baau1 zaat3
包袱,baau1 fuk6
包装,baau1 zong1
包裝,baau1 zong1
化,faa3
化妆,faa3 zong1
化妝,faa3 zong1
化学,faa3 hok6
化學,faa3 hok6
北,bak1
北京,bak1 ging1
北京市,bak1 ging1 si5
北控,bak1 hung3
北欧,bak1 au1
北歐,bak1 au1
北海,bak1 hoi2
北海道,bak1 hoi2 dou6
北海集团,bak1 hoi2 zaap6 tyun4
北海集團,bak1 hoi2 zaap6 tyun4
北韓,bak1 hon4
北韩,bak1 hon4
匙,si4
匪,fei2
匯豐,wui6 fung1
匹,pat1
区,keoi1
区域,keoi1 wik6
医,ji1
医护,ji1 wu5
医生,ji1 sang1
医疗,ji1 liu4
医院,ji1 jyun2
匿,nik1
區,keoi1
區域,keoi1 wik6
十,sap6
十一,sap6 jat1
十一万五千二百,sap6 jat1 maan6 ng5 cin1 ji6 baak3
十一二点,sap6 jat1 ji6 dim2
十一二點,sap6 jat1 ji6 dim2
十一月,sap6 jat1 jyut6
十一点,sap6 jat1 dim2
十一点几,sap6 jat1 dim2 gei2
十一点钟,sap6 jat1 dim2 zung1
十一萬五千二百,sap6 jat1 maan6 ng5 cin1 ji6 baak3
十一點,sap6 jat1 dim2
十一點幾,sap6 jat1 dim2 gei2
十一點鐘,sap6 jat1 dim2 zung1
十七,sap6 cat1
十万,sap6 maan6
十三,sap6 saam1
十三万,sap6 saam1 maan6
十三万四千,sap6 saam1 maan6 sei3 cin1
十三萬,sap6 saam1 maan6
十三萬四千,sap6 saam1 maan6 sei3 cin1
十九,sap6 gau2
十二,sap6 ji6
十二月,sap6 ji6 jyut6
十二点,sap6 ji6 dim2
十二点几,sap6 ji6 dim2 gei2
十二点半,sap6 ji6 dim2 bun3
十二点钟,sap6 ji6 dim2 zung1
十二點,sap6 ji6 dim2
十二點半,sap6 ji6 dim2 bun3
十二點幾,sap6 ji6 dim2 gei2
十二點鐘,sap6 ji6 dim2 zung1
十五,sap6 ng5
十五大,sap6 ng5 daai6
十八,sap6 baat3
十六,sap6 luk6
十几,sap6 gei2
十几号,sap6 gei2 hou6
十分之,sap6 fan1 zi1
十四,sap6 sei3
十幾,sap6 gei2
十幾號,sap6 gei2 hou6
十时,sap6 si4
十時,sap6 si4
十月零,sap6 jyut6 leng4
十点,sap6 dim2
十点几,sap6 dim2 gei2
十点钟,sap6 dim2 zung1
十萬,sap6 maan6
十足,sap6 zuk1
十零,sap6 leng4
十項全能,sap6 hong6 cyun4 nang4
十项全能,sap6 hong6 cyun4 nang4
十點,sap6 dim2
十點幾,sap6 dim2 gei2
十點鐘,sap6 dim2 zung1
千,cin1
千一,cin1 jat1
千三,cin1 saam1
千二,cin1 ji6
千五,cin1 ng5
千六,cin1 luk6
千其,cin1 kei4
千几,cin1 gei2
千奇百怪,cin1 kei4 baak3 gwaai3
千幾,cin1 gei2
千祈,cin1 kei4
卅,saa1
升,sing1
升值,sing1 zik6
升升,sing1 sing1
升升跌跌,sing1 sing1 dit3 dit3
升华,sing1 waa4
午,ng5
午夜,m5 je6
午餐,ng5 saam1
半,bun3
半价,bun3 gaa3
半價,bun3 gaa3
半导体,bun3 dou6 tai2
半導體,bun3 dou6 tai2
卌,saa1
华人,waa4 jan4
华健,waa4 gin6
华航,waa4 hong4
协,hip3
卑,bei1
卒之,zeot1 zi1
卓,coek3
協,hip3
单,daan1
单人,daan1 jan4
单位,daan1 wai2
单只,daan1 zi2
单止,daan1 zi2
单独,daan1 duk6
单身,daan1 san1
单车,daan1 ce1
单车链,daan1 ce1 lin2
卖,maai6
卖家,maai6 gaa1
卖淫,maai6 jam4
卖猪仔,maai6 zyu1 zai2
南丫岛,naam4 aa1 dou2
南丫島,naam4 aa1 dou2
南京,naam4 ging1
南华,naam4 waa2
南哥,naam4 go1
南洋,naam4 joeng2
南湾,naam4 waan1
南灣,naam4 waan1
南華,naam4 waa2
南迪雅利斯峡谷,laam4 dik6 ngaa5 lei6 si1 haap3 guk1
南迪雅利斯峽谷,laam4 dik6 ngaa5 lei6 si1 haap3 guk1
博士,bok3 si6
博物館,bok3 mat6 gun2
博物馆,bok3 mat6 gun2
卜,buk2
占,zim3
占卜,zim1 buk1
卡卡,kaa1 kaa1
卡数,kaat1 sou3
卡數,kaat1 sou3
卡路里,kaa1 lou6 lei5
卡通,kaa1 tung1
卡通片,kaa1 tung1 pin2
卦,gwaa3
卧,ngo6
卫生,wai6 sang1
卫生署,wai6 sang1 cyu5
印,jan3
印尼,jan3 nei4
印象,jan3 zoeng6
危害,ngai4 hoi6
危机,ngai4 gei1
危机感,ngai4 gei1 gam2
危机重重,ngai4 gei1 cung4 cung4
危機,ngai4 gei1
危機感,ngai4 gei1 gam2
危機重重,ngai4 gei1 cung4 cung4
危险,ngai4 him2
危險,ngai4 him2
即,zik1
即使,zik1 si2
即係,zik1 hai6
即刻,zik1 haak1
即日,zik1 jat6
即时,zik1 si4
即是,zik1 si6
即時,zik1 si4
即系,zik1 hai6
却,koek3
卵,leon2
卷,gyun2
卻,koek3
厂,cong2
历,lik6
历史,lik6 si2
厉害,lai6 hoi6
压,aat3
压力,aat3 lik6
厌,jim3
厕所,ci3 so2
厕纸,ci3 zi2
厚,hau5
原,jyun4
原产地,jyun4 caan2 dei6
原价,jyun4 gaa3
原來,jyun4 loi4
原價,jyun4 gaa3
原先,jyun4 sin1
原创,jyun4 cong3
原創,jyun4 cong3
原味,jyun4 mei6
原因,jyun4 jan1
原地踏步,jyun4 dei6 daap6 bou6
原始,jyun4 ci2
原意,jyun4 ji3
原本,jyun4 bun2
原来,jyun4 loi4
原產地,jyun4 caan2 dei6
原素,jyun4 sou3
原装,jyun4 zong1
原裝,jyun4 zong1
原諒,jyun4 loeng6
原谅,jyun4 loeng6
厦,haa6
厨师,cyu4 si1
厨房,cyu4 fong2
厭,jim3
厲害,lai6 hoi6
去,heoi3
去到,heoi3 dou3
去街,heoi3 gaai1
去边,heoi3 bin1
去邊,heoi3 bin1
参加,caam1 gaa1
参考,caam1 haau2
参考书,caam1 haau2 syu1
参观,caam1 gun1
參加,caam1 gaa1
參考,caam1 haau2
參考書,caam1 haau2 syu1
參觀,caam1 gun1
又,jau6
叉,caa1
叉开,caa1 hoi1
叉烧,caa1 siu1
叉燒,caa1 siu1
叉開,caa1 hoi1
及,kap6
友,jau2
友仔,jau2 zai2
友情,jau5 cing4
双,soeng1
双人,soeng1 jan4
双向,soeng1 hoeng3
反,faan2
反复,faan2 fuk1
反对,faan2 deoi3
反對,faan2 deoi3
反应,faan2 jing3
反弹,faan2 daan6
反彈,faan2 daan6
反應,faan2 jing3
反攻,faan2 gung1
反正,faan2 zing3
反而,faan2 ji4
反胃,faan2 wai6
反覆,faan2 fuk1
反轉,faan2 zyun3
反转,faan2 zyun3
发,faat3
发出,faat3 ceot1
发型,faat3 jing4
发型师,faat3 jing4 si1
发声,faat1 seng1
发展,faat3 zin2
发挥,faat3 fai1
发源地,faat3 jyun4 dei6
发炎,faat3 jim4
发现,faat3 jin6
发生,faat3 sang1
发脾气,faat3 pei4 hei3
发行,faat3 hong4
发觉,faat3 gok3
发达,faat3 daat6
发音,faat3 jam1
叔叔,suk1 suk1
取向,ceoi2 hoeng3
取捨,ceoi2 se2
取暖,ceoi2 nyun5
取替,ceoi2 tai3
取消,ceoi2 siu1
取舍,ceoi2 se2
受,sau6
受到,sau6 dou3
受宠若惊,sau6 cung2 joek6 ging1
受害人,sau6 hoi6 jan4
受寵若驚,sau6 cung2 joek6 ging1
变,bin3
变做,bin3 zou6
变化,bin3 faa3
变态,bin3 taai3
变成,bin3 sing4
变迁,bin3 cin1
叠,daap6
叠马,daap6 maa5
口,hau2
口中,hau2 zung1
口口声声,hau2 hau2 seng1 seng1
口口聲聲,hau2 hau2 seng1 seng1
口味,hau2 mei6
口哑哑,hau2 aa2 aa2
口啞啞,hau2 aa2 aa2
口感,hau2 gam2
口碑,hau2 bei1
口罩,hau2 zaau3
口音,hau2 jam1
古仔,gu2 zai2
古怪,gu2 gwaai3
古旧,gu2 gau6
古老,gu2 lou5
古舊,gu2 gau6
古董,gu2 dung2
古装,gu2 zong1
古裝,gu2 zong1
句,geoi3
句語,geoi3 jyu5
句语,geoi3 jyu5
另,ling6
另一个,ling6 jat1 go3
另一個,ling6 jat1 go3
另外,ling6 ngoi6
另外一个,ling6 ngoi6 jat1 go3
另外一個,ling6 ngoi6 jat1 go3
另类,ling6 leoi6
另類,ling6 leoi6
只,zek3
只不过,zi2 bat1 gwo3
只不過,zi2 bat1 gwo3
只係,zi2 hai6
只有,zi2 jau5
只溶喺口度,zi2 jung4 hai2 hau2 dou6
只系,zi2 hai6
只要,zi2 jiu3
叫,giu3
叫住,giu3 zyu6
叫做,giu3 zou6
叫声,giu3 seng1
叫聲,giu3 seng1
召,ziu6
可,ho2
可乐,ho2 lok6
可以,ho2 ji5
可免则免,ho2 min5 zak1 min5
可免則免,ho2 min5 zak1 min5
可怜,ho2 lin4
可惜,ho2 sik1
可愛,ho2 ngoi3
可憐,ho2 lin4
可樂,ho2 lok6
可爱,ho2 ngoi3
可疑,ho2 ji4
可知,ho2 zi1
可能,ho2 nang4
可能性,ho2 nang4 sing3
台,toi4
台下,toi4 haa6
台北,toi4 bak1
台波,toi2 bo1
台湾,toi4 waan1
台灣,toi4 waan1
台費,toi4 fai3
台费,toi4 fai3
叱吒,cik1 caak1
叱咤,cik1 caak1
史,si2
史高斯,si2 gou1 si1
右,jau6
右眼,jau6 ngaan5
叶,jip6
号,hou6
号码,hou6 maa5
叹,taan3
叻,lek1
吃,hek3
各,gok3
各位,gok3 wai2
各施其职,gok3 si1 kei4 zik1
各施其職,gok3 si1 kei4 zik1
各样,gok3 joeng6
各樣,gok3 joeng6
合作,hap6 zok3
合唱,hap6 coeng3
合成,hap6 sing4
合拍,hap6 paak3
合格,hap6 gaak3
合法,hap6 faat3
合理,hap6 lei5
合眼緣,hap6 ngaan5 jyun4
合眼缘,hap6 ngaan5 jyun4
吉,gat1
吉舖,gat1 pou3
吊,diu3
吋,cyun3
同,tung4
同一,tung4 jat1
同乡会,tung4 hoeng1 wui2
同事,tung4 si6
同埋,tung4 maai4
同学,tung4 hok6
同學,tung4 hok6
同情,tung4 cing4
同意,tung4 ji3
同时,tung4 si4
同时间,tung4 si4 gaan1
同時,tung4 si4
同時間,tung4 si4 gaan1
同样,tung4 joeng2
同樣,tung4 joeng2
同步,tung4 bou6
同益,tung4 jik1
同等,tung4 deng2
同鄉會,tung4 hoeng1 wui2
名,meng2
名利,ming4 lei6
名勝,ming4 sing3
名单,ming4 daan1
名單,ming4 daan1
名牌,ming4 paai4
名胜,ming4 sing3
名詞,ming4 ci4
名词,ming4 ci4
后,hau6
后尘,hau6 can4
后尾,hau6 mei1
后期,hau6 kei4
后来,hau6 loi4
后果,hau6 gwo2
后生,hau6 saang1
后生仔,hau6 saang1 zai2
后边,hau6 bin6
后面,hau6 min6
后顾之忧,hau6 gu3 zi1 jau1
吏,lei6
向,hoeng3
吓,haa2
吓吓,haa5 haa5
吓死,haak3 sei2
吔,jaa3
吖,aa1
吗,maa3
君仪,gwan1 ji4
君儀,gwan1 ji4
君姐,gwan1 ze1
否認,fau2 jing6
否认,fau2 jing6
吧,baa1
吨,deon1
含意,ham4 ji3
听,teng1
听乞米,ting3 haak1 mai5
听众,ting3 zung3
听嘢,teng1 je5
听日,ting1 jat6
听晚,ting1 maan5
听朝,ting1 ziu1
听歌,teng1 go1
听电话,teng1 din6 waa2
听讲,teng1 gong2
听道,teng1 dou6
听闻,teng1 man4
启,kai2
启民,kai2 man4
吳,ng4
吴,ng4
吵,caau2
吸,kap1
吸塵,kap1 can4
吸尘,kap1 can4
吸引,kap1 jan5
吸毒,kap1 duk6
吸烟,kap1 jin1
吸煙,kap1 jin1
吸納,kap1 naap6
吸纳,kap1 naap6
吹,ceoi1
吹水,ceoi1 seoi2
吹水唔抹嘴,ceoi1 seoi2 m4 maat3 zeoi2
吼,hau1
吽,ngau6
呀,aa4
呃,aak3
呆,ngoi4
呆鏟症,oi4 caan2 zing3
呆铲症,oi4 caan2 zing3
呈,cing4
告,gou3
呓,ai1
呔,taai1
呕,au2
呕电,au2 din6
员工,jyun4 gung1
呢,ne1
呢个,ni1 go3
呢個,ni1 go3
